Reference, Value, Footprint, Datasheet
"U1","MCP23S17","Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm",""
"J5","INCOMING_PAY-SSM","footprints:Hirose_DF14-8P-1.25H",""
"C1","100nF","Capacitors_SMD:C_0603",""
"R5","10K","Resistors_SMD:R_0603",""
"R6","10K","Resistors_SMD:R_0603",""
"R7","10K","Resistors_SMD:R_0603",""
"R9","10K","Resistors_SMD:R_0603",""
"R8","10K","Resistors_SMD:R_0603",""
"D1","600nM LED","LEDs:LED_0603",""
"D2","600nM LED","LEDs:LED_0603",""
"D3","600nM LED","LEDs:LED_0603",""
"D4","600nM LED","LEDs:LED_0603",""
"R1","180","Resistors_SMD:R_0603",""
"R2","180","Resistors_SMD:R_0603",""
"R3","180","Resistors_SMD:R_0603",""
"R4","180","Resistors_SMD:R_0603",""
"J1","LED_1","Socket_Strips:Socket_Strip_Straight_1x02_Pitch2.54mm",""
"J2","LED_2","Socket_Strips:Socket_Strip_Straight_1x02_Pitch2.54mm",""
"J3","LED_3","Socket_Strips:Socket_Strip_Straight_1x02_Pitch2.54mm",""
"J4","LED_4","Socket_Strips:Socket_Strip_Straight_1x02_Pitch2.54mm",""
