Reference, Value, Footprint, Datasheet,,,,,,Part,Pay-PCBs,Com-ssm,CDH,FlatSat?
C5,,Capacitors_SMD:C_0603,,,,,,,22pF,2,2,2,6
C6,,Capacitors_SMD:C_0603,,,,,,,0.1uF,19,4,6,29
J3,,Connectors:IDC_Header_Straight_6pins,,,,,,,120R,3,3,6,12
C4,,Capacitors_SMD:C_0603,,,,,,,10K,23,1,1,25
U2,,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,,,,,,,1K,1,1,1,3
G1,,Socket_Strips:Socket_Strip_Straight_2x10_Pitch2.54mm,,,,,,,0.22uF,1,,,
G2,,Socket_Strips:Socket_Strip_Straight_2x10_Pitch2.54mm,,,,,,,220R,2,,,
J2,,Socket_Strips:Socket_Strip_Straight_2x08_Pitch2.54mm,,,,,,,5K,2,,,
C2,,Capacitors_SMD:C_0603,,,,,,,1G,2,,,
C1,,Capacitors_SMD:C_0603,,,,,,,0.2pF,1,,,
C3,,Capacitors_SMD:C_0603,,,,,,,4.7uF,1,,,
R1,,Resistors_SMD:R_0603,,,,,,,10uF tantalum,7,,,
Y1,,Crystals:Crystal_SMD_Abracon_ABM3B-4pin_5.0x3.2mm,,,,,,,330R,5,,,
D1,PWR_LED,LEDs:LED_0603,,,,,,,100R,3,,,
R3,,Resistors_SMD:R_0603,,,,,,,2.2uF <1 ESR,1,,,
R4,,Resistors_SMD:R_0603,,,,,,,10nF 0.2 ESR,1,,,
J1,,Socket_Strips:Socket_Strip_Straight_2x04_Pitch2.54mm,,,,,,,1uF LOW ESR,1,,,
U1,,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,,,,,,10nF,3,,,
SW1,,Buttons_Switches_SMD:SW_SPST_B3S-1000,,,,,,,0.1pF,1,,,
R2,,Resistors_SMD:R_0603,,,,,,,180R,4,,,
IC1,,Housings_SOIC:SOIC-20W_7.5x12.8mm_Pitch1.27mm,,,,,,,,,,,
C9,,Capacitors_SMD:C_0603,,,,,,,2x10,2,2,2,6
U3,,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,,,,,,2x8,1,1,1,3
C7,,Capacitors_SMD:C_0603,,,,,,,2x4,1,1,1,3
R5,,Resistors_SMD:R_0603,,,,,,,2x10 1.27,,2,,2
D2,LED_1,LEDs:LED_0603,,,,,,,1x2,5,,,
R6,,Resistors_SMD:R_0603,,,,,,,2x3,2,,,
R7,,Resistors_SMD:R_0603,,,,,,,Terminal Block 1x2,4,,,
D3,LED_TX,LEDs:LED_0603,,,,,,,2x6,1,,,
D4,LED_RX,LEDs:LED_0603,,,,,,,2x4,1,,,
R8,,Resistors_SMD:R_0603,,,,,,,2x7,1,,,
,,,,,,,,,,,,,
COMMS,,,,,,,,,,,,,
C5,,Capacitors_SMD:C_0603,,,,,,,,,,,
C6,,Capacitors_SMD:C_0603,,,,,,,,,,,
J3,,Connectors:IDC_Header_Straight_6pins,,,,,,,,,,,
C4,,Capacitors_SMD:C_0603,,,,,,,,,,,
G1,,Socket_Strips:Socket_Strip_Straight_2x10_Pitch2.54mm,,,,,,,,,,,
G2,,Socket_Strips:Socket_Strip_Straight_2x10_Pitch2.54mm,,,,,,,,,,,
J2,,Socket_Strips:Socket_Strip_Straight_2x08_Pitch2.54mm,,,,,,,,,,,
C2,,Capacitors_SMD:C_0603,,,,,,,,,,,
C1,,Capacitors_SMD:C_0603,,,,,,,,,,,
C3,,Capacitors_SMD:C_0603,,,,,,,,,,,
R1,,Resistors_SMD:R_0603,,,,,,,,,,,
Y1,,Crystals:Crystal_SMD_Abracon_ABM3B-4pin_5.0x3.2mm,,,,,,,,,,,
D1,PWR_LED,LEDs:LED_0603,,,,,,,,,,,
R3,,Resistors_SMD:R_0603,,,,,,,,,,,
R4,,Resistors_SMD:R_0603,,,,,,,,,,,
J1,,Socket_Strips:Socket_Strip_Straight_2x04_Pitch2.54mm,,,,,,,,,,,
U1,,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,,,,,,,,,,
SW1,,Buttons_Switches_SMD:SW_SPST_B3S-1000,,,,,,,,,,,
R2,,Resistors_SMD:R_0603,,,,,,,,,,,
R5,,Resistors_SMD:R_0603,,,,,,,,,,,
P1,,Socket_Strips:Socket_Strip_Straight_2x10_Pitch1.27mm,,,,,,,,,,,
P2,,Socket_Strips:Socket_Strip_Straight_2x10_Pitch1.27mm,,,,,,,,,,,
U2,,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PAY-BOARDS,,,,,,,,,,,,,
C4,,Capacitors_SMD:C_0603,,,,,,,,,,,
C5,,Capacitors_SMD:C_0603,,,,,,,,,,,
J3,,Connectors:IDC_Header_Straight_6pins,,,,,,,,,,,
C6,,Capacitors_SMD:C_0603,,,,,,,,,,,
G1,,Socket_Strips:Socket_Strip_Straight_2x10_Pitch2.54mm,,,,,,,,,,,
G2,,Socket_Strips:Socket_Strip_Straight_2x10_Pitch2.54mm,,,,,,,,,,,
J2,,Socket_Strips:Socket_Strip_Straight_2x08_Pitch2.54mm,,,,,,,,,,,
C2,,Capacitors_SMD:C_0603,,,,,,,,,,,
C1,,Capacitors_SMD:C_0603,,,,,,,,,,,
C3,,Capacitors_SMD:C_0603,,,,,,,,,,,
R5,,Resistors_SMD:R_0603,,,,,,,,,,,
Y1,,Crystals:Crystal_SMD_Abracon_ABM3B-4pin_5.0x3.2mm,,,,,,,,,,,
D1,PWR_LED,LEDs:LED_0603,,,,,,,,,,,
R2,,Resistors_SMD:R_0603,,,,,,,,,,,
R6,,Resistors_SMD:R_0603,,,,,,,,,,,
J4,,Socket_Strips:Socket_Strip_Straight_2x04_Pitch2.54mm,,,,,,,,,,,
U1,,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,,,,,,,,,,
SW1,,Buttons_Switches_SMD:SW_SPST_B3S-1000,,,,,,,,,,,
R1,,Resistors_SMD:R_0603,,,,,,,,,,,
R4,,Resistors_SMD:R_0603,,,,,,,,,,,
U2,,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,,,,,,,,,,,
R3,,Resistors_SMD:R_0603,,,,,,,,,,,
D2,LED,LEDs:LED_0603,,,,,,,,,,,
J1,,pay-ssm:Hirose_DF14-8P-1.25H,,,,,,,,,,,
J13,,Socket_Strips:Socket_Strip_Straight_1x02_Pitch2.54mm,,,,,,,,,,,
J12,,pay-ssm:Hirose_DF14-8P-1.25H,,,,,,,,,,,
U5,,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,,,,,,,,,,,
R11,,Resistors_SMD:R_0603,,,,,,,,,,,
R13,,Resistors_SMD:R_0603,,,,,,,,,,,
R12,,Resistors_SMD:R_0603,,,,,,,,,,,
C7,,Capacitors_SMD:C_0603,,,,,,,,,,,
R10,,Resistors_SMD:R_0603,,,,,,,,,,,
R9,,Resistors_SMD:R_0603,,,,,,,,,,,
U7,,pay-ssm:MS580301BA,,,,,,,,,,,
R15,,Resistors_SMD:R_0603,,,,,,,,,,,
C8,,Capacitors_SMD:C_0603,,,,,,,,,,,
C9,,Capacitors_SMD:C_0603,,,,,,,,,,,
U6,,TO_SOT_Packages_SMD:SOT-23-5,,,,,,,,,,,
R17,,Resistors_SMD:R_0603,,,,,,,,,,,
R16,,Resistors_SMD:R_0603,,,,,,,,,,,
U8,,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,,,,,,,,,,
C11,,Capacitors_SMD:C_0603,,,,,,,,,,,
C10,,Capacitors_SMD:C_0603,,,,,,,,,,,
R18,,Resistors_SMD:R_0603,,,,,,,,,,,
R14,,Resistors_SMD:R_0603,,,,,,,,,,,
D3,LED,LEDs:LED_0603,,,,,,,,,,,
J11,,Socket_Strips:Socket_Strip_Straight_2x03_Pitch2.54mm,,,,,,,,,,,
J10,,Socket_Strips:Socket_Strip_Straight_2x03_Pitch2.54mm,,,,,,,,,,,
U3,,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,,,,,,,,,,
U4,,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,,,,,,,,,,
J8,,Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol,,,,,,,,,,,
